method,score_vector_count,training_seed_observations,auroc_mean,auroc_sample_sd,auroc_sd_reason,average_precision_mean,average_precision_sample_sd,average_precision_sd_reason,aurc_mean,aurc_sample_sd,aurc_sd_reason,risk_at_0.5_mean,risk_at_0.5_sample_sd,risk_at_0.5_sd_reason,risk_at_0.8_mean,risk_at_0.8_sample_sd,risk_at_0.8_sd_reason,risk_at_0.9_mean,risk_at_0.9_sample_sd,risk_at_0.9_sd_reason,risk_at_1.0_mean,risk_at_1.0_sample_sd,risk_at_1.0_sd_reason,scope_id,inputs_sha256
G_block2,3,3,0.8791732815878324,0.002617129912363727,,0.7639788757839523,0.004063323183779446,,0.1017427675419416,0.001673825176911744,,0.06583333333333334,0.0026787918780536,,0.19577546296296297,0.001974389133012954,,0.2544753086419753,0.0007071876072462711,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_block5,3,3,0.8803537310388762,0.0044466190816082685,,0.7595309399903934,0.01646989883867978,,0.1008890487779609,0.001611460566117879,,0.06296296296296297,0.0033602309836340866,,0.19768518518518519,0.0028226269440410237,,0.2552469135802469,0.002568413113748974,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_block8,3,3,0.8810200249383011,0.003283119012877073,,0.7655613723265375,0.004311634237848532,,0.09999633319615685,0.001791970930775306,,0.06398148148148149,0.0032906214155401627,,0.19704861111111113,0.0013107351450122782,,0.25457818930041154,0.0010948455068823426,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_block11,3,3,0.8831268685821567,0.003315459351496596,,0.7706355017800357,0.0049702396643298355,,0.09997538954170344,0.0018303452872021082,,0.06157407407407408,0.003699071176932992,,0.19560185185185186,0.0014765452340478043,,0.2532921810699589,0.0005419574975747417,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_mean,3,3,0.8888946659175588,0.004543195974930641,,0.7795088316093306,0.00515397915817344,,0.09713642610956523,0.0028625614395525944,,0.05629629629629629,0.003473148024724269,,0.19421296296296298,0.001974389133012954,,0.2532921810699589,0.0003563890550553197,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_stack,3,3,0.8884712156717566,0.0043719570263076836,,0.7790190693291134,0.005443488606251495,,0.09732146812988929,0.0024709360312970222,,0.057499999999999996,0.002649831115047072,,0.1942708333333333,0.0013107351450122784,,0.2529835390946502,0.0008909726376382833,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_last_only,3,3,0.8831268685821567,0.003315459351496596,,0.7706355017800357,0.0049702396643298355,,0.09997538954170344,0.0018303452872021082,,0.06157407407407408,0.003699071176932992,,0.19560185185185186,0.0014765452340478043,,0.2532921810699589,0.0005419574975747417,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
H_block2,3,3,0.7260822451748932,0.0031470575064940242,,0.555490402366489,0.0031929242538812045,,0.17726606215966187,0.001337068452134866,,0.17583333333333337,0.005144516438181147,,0.2441550925925926,0.0016500668321045373,,0.2742798353909465,0.00195405554662784,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
H_block5,3,3,0.7547900426776505,0.003757288030676245,,0.5946117702247061,0.0051384473601931374,,0.16097575391478622,0.0013370392981282176,,0.16064814814814812,0.0014254448442907967,,0.23657407407407408,0.0013259767635867546,,0.26954732510288065,0.0013305058802857497,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
H_block8,3,3,0.8052120829115581,0.003137283604457478,,0.6556325495386461,0.002793072974496355,,0.1340635830261617,0.002234881211926035,,0.12287037037037037,0.0011564811108145177,,0.22065972222222222,0.0023356986192836376,,0.2628600823045268,0.0007127781101106715,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
H_block11,3,3,0.8803807103583345,0.0004669845429829847,,0.7507514998947146,0.006340412956899482,,0.10022140939161861,0.001022274021011038,,0.06092592592592592,0.0016276292436339765,,0.19913194444444446,0.001202813060811732,,0.2557098765432099,0.001819417611504876,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
H_mean,3,3,0.8553079741428534,0.006312541280736159,,0.7315047850697399,0.006189661477767748,,0.11353289408828045,0.0026551064672532244,,0.08333333333333333,0.0050917507721731595,,0.20225694444444442,0.0010842010413886069,,0.2552469135802469,0.0005564122338679113,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
H_stack,3,3,0.8757016298099681,0.004226265353530763,,0.7538245779730438,0.00445861246642083,,0.10179577535572681,0.0016876414384275347,,0.06555555555555555,0.004365620457083808,,0.19832175925925924,0.0024077134331845773,,0.25380658436213993,0.0012942125129021761,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
H_last_only,3,3,0.8803807103583345,0.0004669845429829847,,0.7507514998947146,0.006340412956899482,,0.10022140939161861,0.001022274021011038,,0.06092592592592592,0.0016276292436339765,,0.19913194444444446,0.001202813060811732,,0.2557098765432099,0.001819417611504876,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
S_block2,3,3,0.8796429778414918,0.003984836121498795,,0.7536769155161359,0.009945988044717706,,0.10030770391667847,0.002569078245390894,,0.0628756313131313,0.0009680472060801941,,0.1986111111111111,0.0016561444469044297,,0.25534979423868315,0.0016998674528660965,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
S_block5,3,3,0.8762551823148357,0.007092371846272188,,0.7587273977923571,0.012895902689249502,,0.10274036371948918,0.002986888978123391,,0.06907407407407407,0.0009755234956345192,,0.1982638888888889,0.0032153227738632223,,0.25396090534979426,0.0006424895060080525,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
S_block8,3,3,0.8776780882990245,0.0018749249591449367,,0.7563587707335727,0.00203020881964464,,0.10191903103018574,0.0010679650393646456,,0.06518518518518518,0.0022623688375686393,,0.19878472222222224,0.0012152777777777893,,0.25498971193415637,0.0011786460120771247,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
S_block11,3,3,0.8797438376152282,0.0019802314480899816,,0.757627304186384,0.0035459640059585774,,0.10160039525901943,0.0013261515937391679,,0.06194444444444445,0.0029397236789606568,,0.19675925925925927,0.0008909030276817476,,0.254783950617284,0.0003086419753086378,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
S_mean,3,3,0.8885590622417366,0.003086111581356541,,0.7751079247936988,0.006308828309687569,,0.09759587050985692,0.0018052995727307532,,0.05777777777777778,0.00300462606288666,,0.1949074074074074,0.001686203968094145,,0.2532921810699588,0.0006236808463468015,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
S_stack,3,3,0.8879424984344699,0.0026651616831195775,,0.7729741589112226,0.004754755535160391,,0.09783869937835414,0.0013413183634197554,,0.05925925925925926,0.0026691732047036247,,0.19502314814814814,0.0008204541017799638,,0.25406378600823043,0.0006958718754356296,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
S_last_only,3,3,0.8797438376152282,0.0019802314480899816,,0.757627304186384,0.0035459640059585774,,0.10160039525901943,0.0013261515937391679,,0.06194444444444445,0.0029397236789606568,,0.19675925925925927,0.0008909030276817476,,0.254783950617284,0.0003086419753086378,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
O,3,3,0.8757076003988771,0.0005987859314172579,,0.7583394634614137,0.0012819508927295433,,0.10274750284147414,0.00063037313099955,,0.06490740740740741,0.000892930626017872,,0.20028935185185184,0.0020712419176126566,,0.25498971193415637,0.00023572920241544186,,0.3154166666666667,0.0,,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
L,1,0,0.815501387871581,,not applicable: one deterministic L fit,0.6759633350021816,,not applicable: one deterministic L fit,0.12999036658428575,,not applicable: one deterministic L fit,0.11444444444444445,,not applicable: one deterministic L fit,0.21215277777777777,,not applicable: one deterministic L fit,0.26157407407407407,,not applicable: one deterministic L fit,0.3154166666666667,,not applicable: one deterministic L fit,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
MSP,1,0,0.8619425342282249,,not applicable: seed-independent analytic score,0.7093572574823526,,not applicable: seed-independent analytic score,0.10466265071269928,,not applicable: seed-independent analytic score,0.06277777777777778,,not applicable: seed-independent analytic score,0.2140625,,not applicable: seed-independent analytic score,0.26219135802469135,,not applicable: seed-independent analytic score,0.3154166666666667,,not applicable: seed-independent analytic score,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
entropy,1,0,0.8648505832580459,,not applicable: seed-independent analytic score,0.7157317477630645,,not applicable: seed-independent analytic score,0.10381904172560587,,not applicable: seed-independent analytic score,0.06277777777777778,,not applicable: seed-independent analytic score,0.20885416666666667,,not applicable: seed-independent analytic score,0.26049382716049385,,not applicable: seed-independent analytic score,0.3154166666666667,,not applicable: seed-independent analytic score,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
