corruption,severity,records,correct,accuracy
brightness,1,10000,9157,0.915700
brightness,2,10000,9128,0.912800
brightness,3,10000,9056,0.905600
brightness,4,10000,8950,0.895000
brightness,5,10000,8592,0.859200
contrast,1,10000,9107,0.910700
contrast,2,10000,8870,0.887000
contrast,3,10000,8641,0.864100
contrast,4,10000,8140,0.814000
contrast,5,10000,5583,0.558300
defocus_blur,1,10000,9114,0.911400
defocus_blur,2,10000,9005,0.900500
defocus_blur,3,10000,8777,0.877700
defocus_blur,4,10000,8381,0.838100
defocus_blur,5,10000,7508,0.750800
elastic_transform,1,10000,8577,0.857700
elastic_transform,2,10000,8598,0.859800
elastic_transform,3,10000,8277,0.827700
elastic_transform,4,10000,6893,0.689300
elastic_transform,5,10000,5052,0.505200
fog,1,10000,9084,0.908400
fog,2,10000,8838,0.883800
fog,3,10000,8553,0.855300
fog,4,10000,7917,0.791700
fog,5,10000,6209,0.620900
frost,1,10000,8862,0.886200
frost,2,10000,8506,0.850600
frost,3,10000,7848,0.784800
frost,4,10000,7738,0.773800
frost,5,10000,7065,0.706500
gaussian_blur,1,10000,9111,0.911100
gaussian_blur,2,10000,8787,0.878700
gaussian_blur,3,10000,8475,0.847500
gaussian_blur,4,10000,8126,0.812600
gaussian_blur,5,10000,7206,0.720600
gaussian_noise,1,10000,7937,0.793700
gaussian_noise,2,10000,6713,0.671300
gaussian_noise,3,10000,5235,0.523500
gaussian_noise,4,10000,4687,0.468700
gaussian_noise,5,10000,4042,0.404200
glass_blur,1,10000,5294,0.529400
glass_blur,2,10000,5236,0.523600
glass_blur,3,10000,5076,0.507600
glass_blur,4,10000,3328,0.332800
glass_blur,5,10000,3118,0.311800
impulse_noise,1,10000,8292,0.829200
impulse_noise,2,10000,7487,0.748700
impulse_noise,3,10000,6660,0.666000
impulse_noise,4,10000,4971,0.497100
impulse_noise,5,10000,3641,0.364100
jpeg_compression,1,10000,8148,0.814800
jpeg_compression,2,10000,7374,0.737400
jpeg_compression,3,10000,7079,0.707900
jpeg_compression,4,10000,6700,0.670000
jpeg_compression,5,10000,6172,0.617200
motion_blur,1,10000,8740,0.874000
motion_blur,2,10000,8233,0.823300
motion_blur,3,10000,7566,0.756600
motion_blur,4,10000,7565,0.756500
motion_blur,5,10000,6835,0.683500
pixelate,1,10000,8870,0.887000
pixelate,2,10000,8314,0.831400
pixelate,3,10000,8152,0.815200
pixelate,4,10000,6910,0.691000
pixelate,5,10000,4740,0.474000
saturate,1,10000,8592,0.859200
saturate,2,10000,7828,0.782800
saturate,3,10000,9094,0.909400
saturate,4,10000,8677,0.867700
saturate,5,10000,8153,0.815300
shot_noise,1,10000,8418,0.841800
shot_noise,2,10000,7800,0.780000
shot_noise,3,10000,6053,0.605300
shot_noise,4,10000,5361,0.536100
shot_noise,5,10000,4215,0.421500
snow,1,10000,8867,0.886700
snow,2,10000,8319,0.831900
snow,3,10000,8194,0.819400
snow,4,10000,7938,0.793800
snow,5,10000,7432,0.743200
spatter,1,10000,8939,0.893900
spatter,2,10000,8638,0.863800
spatter,3,10000,8109,0.810900
spatter,4,10000,8692,0.869200
spatter,5,10000,8280,0.828000
speckle_noise,1,10000,8390,0.839000
speckle_noise,2,10000,7317,0.731700
speckle_noise,3,10000,6685,0.668500
speckle_noise,4,10000,5331,0.533100
speckle_noise,5,10000,4150,0.415000
zoom_blur,1,10000,8555,0.855500
zoom_blur,2,10000,8510,0.851000
zoom_blur,3,10000,8296,0.829600
zoom_blur,4,10000,8022,0.802200
zoom_blur,5,10000,7504,0.750400
